unix_soc, micro_sec, frame_number, optical_input, keypad_button, channel_1, channel_2, channel_3, channel_4, channel_5, channel_6, channel_7, channel_8
1659375612, 257333, 506, 0, 0, 4634493, 2119974, -112666, 7262016, 6221483, 4216601, 4178818, 4565184
1659375612, 259333, 506, 0, 0, 4624990, 2096119, -119989, 7258770, 6219249, 4181921, 4175735, 4545078
1659375612, 261333, 506, 0, 0, 4613396, 2066506, -128865, 7254651, 6216388, 4140527, 4171545, 4521689
1659375612, 263333, 506, 0, 0, 4604761, 2043521, -135484, 7251626, 6214046, 4111058, 4167738, 4505857
1659375612, 265333, 506, 0, 0, 4603174, 2037935, -136882, 7251089, 6213458, 4107236, 4166169, 4504807
1659375612, 267333, 506, 0, 0, 4605764, 2044005, -135001, 7251801, 6213921, 4119142, 4166633, 4512444
1659375612, 269333, 506, 0, 0, 4613856, 2064136, -129075, 7254731, 6215776, 4150286, 4169090, 4530678
1659375612, 271333, 506, 0, 0, 4629879, 2103226, -117643, 7260951, 6219889, 4206884, 4174101, 4562739
1659375612, 273284, 507, 0, 0, 4641723, 2133381, -109382, 7265425, 6223231, 4246697, 4178896, 4584041
1659375612, 275284, 507, 0, 0, 4642173, 2136755, -109259, 7265379, 6223712, 4246755, 4180683, 4582232
1659375612, 277284, 507, 0, 0, 4634721, 2119948, -114854, 7262444, 6222162, 4219491, 4179386, 4565438
1659375612, 279284, 507, 0, 0, 4625222, 2096167, -122186, 7259193, 6219925, 4184852, 4176299, 4545327
1659375612, 281284, 507, 0, 0, 4613605, 2066549, -131088, 7255188, 6217050, 4143451, 4172084, 4521897
1659375612, 283284, 507, 0, 0, 4604876, 2043235, -137798, 7252037, 6214708, 4113454, 4168266, 4505744
1659375612, 285284, 507, 0, 0, 4603199, 2037379, -139269, 7251511, 6214101, 4109248, 4166650, 4504491
1659375612, 287284, 507, 0, 0, 4605726, 2043246, -137446, 7252236, 6214584, 4120919, 4167085, 4511983
1659375612, 289284, 507, 0, 0, 4613803, 2063118, -131519, 7254934, 6216539, 4151708, 4169593, 4530071
1659375612, 291284, 507, 0, 0, 4629761, 2102021, -120124, 7261139, 6220675, 4208090, 4174585, 4562043
1659375612, 293284, 507, 0, 0, 4641788, 2132604, -111742, 7265622, 6224056, 4248575, 4179416, 4583744
1659375612, 295284, 507, 0, 0, 4642465, 2136451, -111463, 7265549, 6224603, 4249299, 4181289, 4582351
1659375612, 297284, 507, 0, 0, 4635126, 2119873, -116973, 7262616, 6223070, 4222344, 4180077, 4565751
1659375612, 299284, 507, 0, 0, 4625676, 2096201, -124234, 7259240, 6220876, 4187833, 4177071, 4545747
1659375612, 301284, 507, 0, 0, 4614114, 2066733, -133084, 7255131, 6218021, 4146604, 4172896, 4522446
1659375612, 303284, 507, 0, 0, 4605181, 2043063, -139961, 7252163, 6215588, 4116098, 4168993, 4505993
1659375612, 305206, 508, 0, 0, 4603341, 2036871, -141578, 7251658, 6214923, 4111460, 4167273, 4504489
1659375612, 307206, 508, 0, 0, 4605796, 2042549, -139787, 7252316, 6215413, 4122859, 4167683, 4511835
1659375612, 309206, 508, 0, 0, 4613734, 2062104, -133978, 7255044, 6217313, 4153199, 4170163, 4529691
1659375612, 311206, 508, 0, 0, 4629594, 2100778, -122641, 7261141, 6221409, 4209268, 4175123, 4561558
1659375612, 313206, 508, 0, 0, 4641839, 2131816, -114106, 7265707, 6224832, 4250476, 4179978, 4583706
1659375612, 315206, 508, 0, 0, 4642736, 2136145, -113695, 7265725, 6225440, 4251873, 4181915, 4582690
1659375612, 317206, 508, 0, 0, 4635470, 2119801, -119189, 7262819, 6223919, 4225209, 4180725, 4566204
1659375612, 319206, 508, 0, 0, 4626003, 2096134, -126501, 7259598, 6221674, 4190709, 4177696, 4546162
1659375612, 321206, 508, 0, 0, 4614458, 2066684, -135349, 7255581, 6218826, 4149501, 4173534, 4522846
1659375612, 323206, 508, 0, 0, 4605461, 2042779, -142241, 7252348, 6216420, 4118587, 4169616, 4506157
1659375612, 325206, 508, 0, 0, 4603603, 2036401, -143836, 7251796, 6215782, 4113674, 4167904, 4504524
1659375612, 327206, 508, 0, 0, 4605963, 2041854, -142106, 7252354, 6216227, 4124792, 4168273, 4511724
1659375612, 329206, 508, 0, 0, 4613709, 2061017, -136442, 7255163, 6218047, 4154651, 4170634, 4529296
1659375612, 331206, 508, 0, 0, 4629493, 2099475, -125149, 7261123, 6222102, 4210540, 4175533, 4561055
1659375612, 333206, 508, 0, 0, 4641824, 2130862, -116555, 7265829, 6225516, 4252401, 4180369, 4583530
1659375612, 335206, 508, 0, 0, 4642862, 2135662, -116037, 7266053, 6226156, 4254542, 4182345, 4582863
1659375612, 337158, 509, 0, 0, 4635793, 2119659, -121333, 7263084, 6224781, 4228307, 4181299, 4566616
